name	genus	species	subspecies	species_group	species_subgroup	group	group2	realm1	realm2	region		notes
L.stackelbergi	Lordiphosa	stackelbergi				Lordiphosa	Lordiphosa	Palearctic	Palearctic	Palearctic		
L.varia	Leucophenga	varia				other drosophilids	other drosophilids	Nearctic	Nearctic	Nearctic		
M.cristata	Microdrosophila	cristata				other drosophilids	other drosophilids	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
M.parasiatica	Mulgravea	parasiatica				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
P.flavipennis	Phorticella	flavipennis				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
P.magna	Phortica	magna				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
S.caliginosa	Scaptomyza	caliginosa				Scaptomyza	Scaptomyza	Pacific Islands	Pacific Islands	Hawaii		hawaiian
S.cyrtandrae	Scaptomyza	cyrtandrae				Scaptomyza	Scaptomyza	Pacific Islands	Pacific Islands	Hawaii		hawaiian
S.graminum	Scaptomyza	graminum				Scaptomyza	Scaptomyza	Palearctic	Palearctic	Palearctic		cosmopolitan
S.hsui	Scaptomyza	hsui				Scaptomyza	Scaptomyza	Nearctic	Nearctic	Nearctic		
S.javana	Sphaerogastrella	javana				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
S.latifasciaeformis	Scaptodrosophila	latifasciaeformis				Scaptodrosophila	Scaptodrosophila	Afrotropic	Afrotropic	Afrotropic		
S.montana	Scaptomyza	montana				Scaptomyza	Scaptomyza	Nearctic	Nearctic	Nearctic		
S.nigrithorax	Stegana	nigrithorax				other drosophilids	other drosophilids	Palearctic	Palearctic	Palearctic		
S.pallida	Scaptomyza	pallida				Scaptomyza	Scaptomyza	Palearctic	Cosmopolitan	Palearctic		Native to PA
S.parva	Scaptomyza	parva				Scaptomyza	Scaptomyza	Pacific Islands	Pacific Islands	Hawaii		hawaiian
S.polygonia	Scaptomyza	polygonia				Scaptomyza	Scaptomyza	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
S.reducta	Scaptomyza	reducta				Scaptomyza	Scaptomyza	Pacific Islands	Pacific Islands	Hawaii		hawaiian
S.scaptomyzoidea	Scaptodrosophila	scaptomyzoidea				Scaptodrosophila	Scaptodrosophila	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
S.tumidula	Scaptomyza	tumidula				Scaptomyza	Scaptomyza	Pacific Islands	Pacific Islands	Hawaii		hawaiian
Z.africanus	Zaprionus	africanus				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.bogoriensis	Zaprionus	bogoriensis				Zaprionus	Zaprionus	Australasian	Australasian	EastAsia-Oceania		
Z.camerounensis	Zaprionus	camerounensis				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.capensis	Zaprionus	capensis				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.davidi	Zaprionus	davidi				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.flavofinira	Zygothrica	flavofinira				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
Z.gabonicus	Zaprionus	gabonicus				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.ghesquierei	Zaprionus	ghesquierei				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.indianus.16GNV01	Zaprionus	indianus				Zaprionus	Zaprionus	Afrotropic	Cosmopolitan	Afrotropic		Native to AT
Z.indianus.BS02	Zaprionus	indianus				Zaprionus	Zaprionus	Afrotropic	Cosmopolitan	Afrotropic		Native to AT
Z.indianus.CDD18	Zaprionus	indianus				Zaprionus	Zaprionus	Afrotropic	Cosmopolitan	Afrotropic		Native to AT
Z.indianus.RCR04	Zaprionus	indianus				Zaprionus	Zaprionus	Afrotropic	Cosmopolitan	Afrotropic		Native to AT
Z.inermis	Zaprionus	inermis				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.kolodkinae	Zaprionus	kolodkinae				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.lachaisei	Zaprionus	lachaisei				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.lineosus	Zaprionus	lineosus				Zaprionus	Zaprionus	Australasian	Australasian	EastAsia-Oceania		
Z.nigranus	Zaprionus	nigranus				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.obscuricornis	Zaprionus	obscuricornis				Zaprionus	Zaprionus	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
Z.ornatus	Zaprionus	ornatus				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.quintamaculata	Zygothrica	quintamaculata				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
Z.taronus	Zaprionus	taronus				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.tsacasi.car7-4	Zaprionus	tsacasi				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.tsacasi.jd01t	Zaprionus	tsacasi				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
Z.vittiger	Zaprionus	vittiger				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
